State,Year,BDPRP,CLPRB,ENPRP,GETCB,HYTCB,NCPRB,NGMPB,NUETB,PAPRB,REPRB,SOTCB,TEPRB,TETCB,WDEXB,WDPRB,WDTCB,WSTCB,WWPRB,WYTCB
AK,2020,0.0,15523.0,0.0,186.0,15475.0,16851.0,376283.0,0.0,932482.0,24682.0,62.0,1348969.0,640132.0,0.0,7423.0,7423.0,407.0,7831.0,1128.0
AL,2020,287.0,313282.0,0.0,141.0,117112.0,120692.0,124831.0,454756.0,24528.0,288515.0,3439.0,1205912.0,1838656.0,5592.0,164778.0,159187.0,1487.0,166266.0,0.0
AR,2020,1553.0,0.0,0.0,808.0,39747.0,43767.0,489956.0,157288.0,23578.0,111538.0,3212.0,782360.0,1034661.0,0.0,55743.0,55743.0,3591.0,59334.0,0.0
AZ,2020,0.0,0.0,0.0,345.0,56354.0,142484.0,68.0,329471.0,28.0,152046.0,80134.0,481613.0,1508154.0,0.0,9297.0,9297.0,265.0,9562.0,5651.0
CA,2020,896.0,0.0,2710.0,101857.0,187545.0,845282.0,192081.0,169773.0,814462.0,1013850.0,436716.0,2190166.0,6922764.0,0.0,108611.0,108611.0,39694.0,148305.0,119164.0
CO,2020,0.0,210494.0,3212.0,759.0,14638.0,152466.0,2423537.0,0.0,955132.0,186132.0,19632.0,3775295.0,1451112.0,0.0,14333.0,14333.0,1084.0,15418.0,117437.0
CT,2020,484.0,0.0,0.0,21.0,2860.0,12285.0,0.0,164095.0,0.0,37394.0,9298.0,201489.0,667011.0,0.0,13126.0,13126.0,9356.0,22482.0,107.0
DE,2020,0.0,0.0,0.0,430.0,0.0,2118.0,0.0,0.0,0.0,3571.0,1642.0,3571.0,277144.0,0.0,644.0,644.0,810.0,1454.0,45.0
FL,2020,31.0,0.0,0.0,10056.0,2033.0,106617.0,1037.0,307197.0,8468.0,258173.0,94529.0,574876.0,4003133.0,11932.0,92788.0,80856.0,58601.0,151389.0,0.0
GA,2020,244.0,0.0,1169.0,315.0,40905.0,77605.0,0.0,342766.0,0.0,313196.0,36385.0,655962.0,2727565.0,19380.0,220958.0,201578.0,6665.0,227623.0,0.0
HI,2020,87.0,0.0,0.0,92.0,867.0,23057.0,0.0,0.0,0.0,27957.0,16902.0,27957.0,232516.0,0.0,94.0,94.0,4334.0,4427.0,5196.0
IA,2020,8357.0,0.0,92137.0,1281.0,8994.0,312229.0,0.0,30333.0,0.0,900015.0,2072.0,930347.0,1526087.0,0.0,7059.0,7059.0,11861.0,18920.0,299881.0
ID,2020,0.0,0.0,365.0,2297.0,83415.0,115768.0,112.0,0.0,6.0,151616.0,5750.0,151734.0,550098.0,0.0,32280.0,32280.0,1498.0,33778.0,24306.0
IL,2020,3750.0,689464.0,33807.0,2042.0,1184.0,151290.0,1951.0,1046769.0,40782.0,381252.0,5714.0,2160217.0,3612925.0,0.0,8010.0,8010.0,9510.0,17520.0,142350.0
IN,2020,2382.0,450768.0,23148.0,4647.0,2375.0,66949.0,4419.0,0.0,7979.0,246985.0,4767.0,710151.0,2564421.0,0.0,18762.0,18762.0,16823.0,35585.0,55161.0
KS,2020,1399.0,0.0,12721.0,974.0,284.0,212447.0,188961.0,110502.0,160828.0,299301.0,955.0,759592.0,1069542.0,0.0,4072.0,4072.0,2909.0,6980.0,210234.0
KY,2020,1259.0,571089.0,928.0,2712.0,43913.0,47519.0,81708.0,0.0,12890.0,90327.0,894.0,756015.0,1595472.0,0.0,27590.0,27590.0,3108.0,30698.0,0.0
LA,2020,0.0,9438.0,0.0,1842.0,10560.0,15097.0,3311767.0,176988.0,208905.0,131183.0,2695.0,3838280.0,4200360.0,7216.0,102758.0,95542.0,13328.0,116086.0,0.0
MA,2020,18.0,0.0,0.0,859.0,7402.0,43346.0,0.0,0.0,0.0,73946.0,32995.0,73946.0,1278411.0,0.0,13952.0,13952.0,16553.0,30504.0,2090.0
MD,2020,0.0,27404.0,0.0,570.0,14886.0,33709.0,10.0,157471.0,0.0,47229.0,13467.0,232114.0,1212643.0,0.0,6292.0,6292.0,7227.0,13519.0,4787.0
ME,2020,9.0,0.0,0.0,72.0,27707.0,49968.0,0.0,0.0,0.0,132947.0,1176.0,132947.0,365101.0,0.0,80389.0,80389.0,2543.0,82932.0,21013.0
MI,2020,214.0,0.0,7381.0,5193.0,15031.0,82542.0,69854.0,316732.0,23885.0,225022.0,3230.0,635494.0,2610581.0,0.0,80059.0,80059.0,19325.0,99384.0,59087.0
MN,2020,1973.0,0.0,27284.0,1075.0,8789.0,129433.0,0.0,153260.0,0.0,351983.0,15774.0,505243.0,1731499.0,0.0,48121.0,48121.0,8699.0,56820.0,103795.0
MO,2020,5536.0,3432.0,6098.0,352.0,16488.0,50264.0,1.0,80843.0,353.0,140007.0,4077.0,224636.0,1702136.0,0.0,20920.0,20920.0,4099.0,25019.0,29347.0
MS,2020,598.0,26576.0,0.0,958.0,0.0,4877.0,28956.0,67569.0,80619.0,64336.0,3919.0,268056.0,1037261.0,8927.0,54743.0,45817.0,1466.0,56210.0,0.0
MT,2020,0.0,469076.0,0.0,337.0,94288.0,122051.0,42367.0,0.0,108044.0,137944.0,593.0,757430.0,429327.0,0.0,15399.0,15399.0,493.0,15893.0,26833.0
NC,2020,29.0,0.0,0.0,967.0,69811.0,151586.0,0.0,441997.0,0.0,281143.0,76016.0,723140.0,2470897.0,25082.0,119589.0,94507.0,9808.0,129397.0,4792.0
ND,2020,1982.0,364262.0,12280.0,978.0,21497.0,142096.0,1211327.0,0.0,2474953.0,224409.0,12.0,4274952.0,625886.0,0.0,784.0,784.0,995.0,1779.0,119610.0
NE,2020,0.0,0.0,42863.0,1212.0,12195.0,94055.0,375.0,64621.0,9527.0,342292.0,679.0,416814.0,863654.0,0.0,2764.0,2764.0,1955.0,4719.0,79969.0
NH,2020,59.0,0.0,0.0,29.0,10776.0,16893.0,0.0,103012.0,0.0,45710.0,1484.0,148723.0,295548.0,0.0,24914.0,24914.0,3584.0,28499.0,4605.0
NJ,2020,0.0,0.0,0.0,466.0,135.0,36005.0,0.0,279201.0,0.0,51878.0,35229.0,331078.0,1893854.0,0.0,3090.0,3090.0,12782.0,15872.0,176.0
NM,2020,0.0,191349.0,0.0,835.0,1778.0,84743.0,2277937.0,0.0,2107958.0,96447.0,18752.0,4673691.0,699738.0,0.0,11351.0,11351.0,353.0,11704.0,63378.0
NV,2020,0.0,0.0,0.0,34893.0,16874.0,111902.0,12.0,0.0,1115.0,115274.0,57286.0,116402.0,710083.0,0.0,2559.0,2559.0,813.0,3372.0,2849.0
NY,2020,0.0,0.0,1753.0,1185.0,259241.0,328916.0,10012.0,401287.0,1565.0,426161.0,28821.0,839025.0,3354222.0,0.0,56956.0,56956.0,30327.0,87283.0,39669.0
OH,2020,1697.0,88255.0,12725.0,3435.0,3283.0,30594.0,2611802.0,190243.0,135554.0,161090.0,3793.0,3186943.0,3404480.0,0.0,35686.0,35686.0,13297.0,48983.0,20083.0
OK,2020,886.0,16.0,0.0,24.0,25042.0,283986.0,3244434.0,0.0,977372.0,323741.0,845.0,4545564.0,1579183.0,0.0,29058.0,29058.0,5884.0,34942.0,258075.0
OR,2020,265.0,0.0,790.0,2917.0,280040.0,373076.0,337.0,0.0,0.0,453528.0,13116.0,453865.0,982979.0,0.0,68864.0,68864.0,5659.0,74523.0,77003.0
PA,2020,683.0,908798.0,2289.0,2162.0,23445.0,65641.0,7563593.0,799036.0,31483.0,189149.0,7151.0,9492059.0,3412995.0,0.0,73021.0,73021.0,33772.0,106794.0,32883.0
RI,2020,103.0,0.0,0.0,57.0,31.0,6346.0,0.0,0.0,0.0,11420.0,4375.0,11420.0,175780.0,0.0,1591.0,1591.0,2925.0,4516.0,1884.0
SC,2020,0.0,0.0,0.0,648.0,33888.0,52929.0,0.0,571711.0,0.0,160701.0,18393.0,732412.0,1533340.0,8821.0,103690.0,94870.0,4081.0,107772.0,0.0
SD,2020,0.0,0.0,27664.0,1868.0,51152.0,101696.0,439.0,0.0,5958.0,261997.0,38.0,268394.0,396626.0,0.0,2945.0,2945.0,187.0,3132.0,48639.0
TN,2020,839.0,2377.0,4033.0,213.0,118018.0,122230.0,2866.0,383098.0,939.0,202041.0,3656.0,591321.0,2039089.0,1732.0,48046.0,46314.0,4294.0,52340.0,344.0
TX,2020,5021.0,262510.0,5549.0,2478.0,9469.0,912590.0,1.1464912E7,432703.0,1.0109771E7,1059236.0,89658.0,2.3329131E7,1.348076E7,7955.0,62425.0,54470.0,25413.0,87839.0,810985.0
UT,2020,0.0,296168.0,0.0,4113.0,7165.0,45727.0,265927.0,0.0,176142.0,50836.0,27408.0,789072.0,829039.0,0.0,4011.0,4011.0,1097.0,5109.0,7041.0
VA,2020,57.0,251899.0,32.0,1701.0,17811.0,33962.0,107908.0,314722.0,28.0,147212.0,14450.0,821769.0,2273099.0,9398.0,94244.0,84845.0,18512.0,112755.0,0.0
VT,2020,0.0,0.0,0.0,29.0,9911.0,16528.0,0.0,0.0,0.0,37481.0,3224.0,37481.0,125702.0,0.0,20237.0,20237.0,716.0,20953.0,3365.0
WA,2020,1768.0,0.0,0.0,1136.0,670342.0,755489.0,0.0,98437.0,0.0,871240.0,2724.0,969677.0,1779399.0,0.0,98371.0,98371.0,7774.0,106145.0,81287.0
WI,2020,743.0,0.0,10990.0,615.0,24457.0,42739.0,0.0,102032.0,0.0,200946.0,2197.0,302978.0,1708131.0,0.0,83180.0,83180.0,8551.0,91731.0,15470.0
WV,2020,0.0,1748361.0,0.0,32.0,13967.0,30837.0,3121923.0,0.0,108465.0,41440.0,188.0,5020189.0,803921.0,0.0,10354.0,10354.0,250.0,10604.0,16649.0
WY,2020,0.0,3822600.0,0.0,663.0,9527.0,60120.0,1489916.0,0.0,507017.0,64877.0,1566.0,5884410.0,504390.0,0.0,4757.0,4757.0,0.0,4757.0,48362.0
